iter	MAE
0	2837.514853
1	2809.128646
2	2782.345773
3	2755.671078
4	2730.830229
5	2709.068149
6	2686.38296
7	2665.575636
8	2644.892582
9	2625.542763
10	2605.375368
11	2585.923055
12	2568.737913
13	2552.880157
14	2536.121511
15	2520.093924
16	2505.122498
17	2491.445622
18	2476.43351
19	2462.599625
20	2448.131298
21	2435.519943
22	2423.163081
23	2411.336689
24	2399.115325
25	2389.344067
26	2379.369466
27	2370.478564
28	2360.490398
29	2350.693198
30	2342.199679
31	2333.765473
32	2324.965062
33	2316.899401
34	2308.775477
35	2301.12941
36	2294.051368
37	2285.98544
38	2279.769649
39	2273.008448
40	2267.697501
41	2261.66446
42	2255.44895
43	2248.766088
44	2242.499521
45	2238.204599
46	2233.584524
47	2229.106918
48	2224.302254
49	2219.975088
50	2215.780193
51	2211.941634
52	2208.296201
53	2204.629304
54	2200.001786
55	2196.270668
56	2191.594511
57	2188.589262
58	2185.541598
59	2182.853094
60	2179.661631
61	2175.973131
62	2173.202791
63	2170.128462
64	2167.445269
65	2165.285211
66	2162.284391
67	2159.706789
68	2156.715465
69	2154.687654
70	2152.190047
71	2149.944239
72	2147.76744
73	2146.182763
74	2143.854841
75	2141.531606
76	2139.267308
77	2136.534605
78	2134.421003
79	2132.741985
80	2131.111582
81	2128.435512
82	2126.940798
83	2125.424445
84	2123.132688
85	2121.597096
86	2120.002856
87	2118.709206
88	2116.663822
89	2114.825156
90	2113.003641
91	2111.273451
92	2109.555426
93	2108.434524
94	2107.284307
95	2105.731696
96	2104.674228
97	2103.544
98	2102.193638
99	2101.368709
100	2100.222537
101	2098.883483
102	2097.61479
103	2096.614963
104	2095.414319
105	2094.173279
106	2092.977987
107	2092.191066
108	2090.270401
109	2089.449993
110	2088.486163
111	2087.733273
112	2086.698231
113	2085.471266
114	2083.730699
115	2082.772128
116	2081.594058
117	2080.681798
118	2078.825904
119	2077.174475
120	2075.907828
121	2075.142412
122	2074.191104
123	2072.931496
124	2072.1925
125	2070.983624
126	2070.496643
127	2069.743002
128	2068.268442
129	2067.461951
130	2066.926554
131	2066.56588
132	2066.140745
133	2065.546919
134	2064.56702
135	2064.141846
136	2062.44385
137	2061.91159
138	2060.458868
139	2059.789547
140	2059.457085
141	2058.172794
142	2057.783937
143	2056.883267
144	2055.283671
145	2054.656311
146	2053.532078
147	2052.692901
148	2051.895844
149	2051.534169
150	2051.060095
151	2050.526839
152	2049.986782
153	2049.397026
154	2048.831819
155	2048.255725
156	2047.757754
157	2047.274463
158	2046.034579
159	2045.509293
160	2044.282402
161	2043.148367
162	2041.896329
163	2041.609073
164	2041.028485
165	2039.953595
166	2039.408719
167	2038.76994
168	2038.21903
169	2037.083469
170	2036.814643
171	2036.261148
172	2035.617523
173	2035.392783
174	2034.697712
175	2034.403921
176	2033.944664
177	2033.030974
178	2032.61039
179	2031.791981
180	2031.445806
181	2031.10417
182	2030.635943
183	2030.147981
184	2029.012632
185	2028.055615
186	2027.672669
187	2027.413311
188	2026.463422
189	2026.083319
190	2025.636051
191	2024.779283
192	2024.035851
193	2023.26878
194	2022.482942
195	2022.123806
196	2021.527815
197	2021.061398
198	2020.394627
199	2020.080164
200	2019.510357
201	2018.774541
202	2018.346734
203	2018.07937
204	2017.53606
205	2017.048191
