iter	Passed	Remaining
0	88	264725
1	95	143122
2	102	102196
3	109	81847
4	116	69679
5	123	61593
6	130	55633
7	137	51268
8	143	47806
9	150	44996
10	158	42964
11	164	41084
12	171	39394
13	177	37933
14	184	36660
15	190	35573
16	197	34587
17	203	33725
18	209	32906
19	216	32196
20	222	31532
21	228	30931
22	235	30449
23	241	29983
24	247	29508
25	254	29096
26	260	28695
27	267	28410
28	274	28125
29	280	27791
30	287	27517
31	293	27236
32	299	26944
33	306	26725
34	312	26447
35	318	26200
36	324	25979
37	331	25802
38	337	25637
39	344	25466
40	351	25338
41	357	25170
42	363	25011
43	370	24858
44	376	24730
45	382	24593
46	389	24464
47	395	24328
48	402	24263
49	409	24147
50	415	24049
51	422	23951
52	428	23834
53	434	23731
54	441	23636
55	447	23539
56	454	23457
57	461	23395
58	467	23311
59	473	23220
60	480	23129
61	485	23022
62	493	22986
63	499	22898
64	505	22812
65	511	22730
66	517	22656
67	524	22604
68	530	22532
69	536	22470
70	543	22408
71	549	22361
72	556	22297
73	568	22472
74	576	22472
75	583	22461
76	590	22428
77	598	22421
78	606	22408
79	614	22419
80	622	22423
81	630	22418
82	637	22391
83	645	22396
84	652	22371
85	658	22310
86	665	22266
87	671	22214
88	677	22152
89	684	22121
90	690	22086
91	696	22023
92	703	21987
93	709	21946
94	716	21908
95	722	21861
96	729	21825
97	735	21778
98	741	21729
99	747	21676
100	753	21634
101	759	21585
102	765	21535
103	772	21502
104	778	21457
105	784	21416
106	791	21387
107	796	21341
108	803	21307
109	810	21291
110	816	21248
111	821	21184
112	827	21147
113	833	21110
114	840	21085
115	847	21069
116	853	21034
117	859	20998
118	865	20957
119	872	20933
120	879	20920
121	885	20896
122	892	20867
123	898	20835
124	904	20803
125	911	20782
126	917	20755
127	923	20716
128	929	20691
129	936	20675
130	942	20642
131	949	20624
132	956	20608
133	962	20577
134	968	20553
135	975	20534
136	981	20518
137	988	20495
138	994	20468
139	1001	20454
140	1007	20436
141	1014	20422
142	1020	20394
143	1027	20378
144	1033	20358
145	1039	20327
146	1047	20326
147	1053	20310
148	1059	20277
149	1065	20252
150	1071	20223
151	1078	20205
152	1084	20188
153	1091	20166
154	1097	20148
155	1104	20136
156	1110	20112
157	1116	20088
158	1123	20079
159	1130	20068
160	1136	20049
161	1143	20033
162	1149	20010
163	1156	19994
164	1162	19970
165	1168	19948
166	1174	19928
167	1181	19913
168	1187	19892
169	1193	19871
170	1200	19862
171	1207	19846
172	1213	19827
173	1219	19809
174	1227	19808
175	1233	19790
