date_mutation,valeur_fonciere,adresse_nom_voie,code_postal,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,longitude,latitude,prix_m2,annee,mois,nombre_lots
2023-01-04,140000.0,RUE DE COURCELLES,75017.0,Paris 17e Arrondissement,Appartement,18.0,1,2.298612,48.884255,7777.78,2023,1,2
2023-01-05,400000.0,RUE TURGOT,75009.0,Paris 9e Arrondissement,Appartement,43.0,1,2.345859,48.880564,9302.33,2023,1,1
2023-01-03,295000.0,RUE EMILE LEVEL,75017.0,Paris 17e Arrondissement,Appartement,28.0,2,2.318419,48.893075,10535.71,2023,1,2
2023-01-03,300400.0,BD BARBES,75018.0,Paris 18e Arrondissement,Appartement,36.0,2,2.349162,48.891187,8344.44,2023,1,2
2023-01-04,213000.0,RUE BOUCRY,75018.0,Paris 18e Arrondissement,Appartement,27.0,1,2.362369,48.894577,7888.89,2023,1,2
2023-01-04,600000.0,RUE PIXERECOURT,75020.0,Paris 20e Arrondissement,Appartement,85.0,4,2.396493,48.87457,7058.82,2023,1,2
2023-01-06,360000.0,RUE LEGENDRE,75017.0,Paris 17e Arrondissement,Appartement,36.0,1,2.322435,48.888709,10000.0,2023,1,1
2023-01-06,351400.0,RUE DES CLOYS,75018.0,Paris 18e Arrondissement,Appartement,30.0,2,2.339433,48.89248,11713.33,2023,1,3
2023-01-04,158000.0,RUE BOINOD,75018.0,Paris 18e Arrondissement,Appartement,18.0,1,2.350789,48.893014,8777.78,2023,1,1
2023-01-04,396800.0,AV DE SAINT OUEN,75018.0,Paris 18e Arrondissement,Appartement,33.0,3,2.32794,48.893404,12024.24,2023,1,2
2023-01-06,311900.0,RUE DE BERRI,75008.0,Paris 8e Arrondissement,Appartement,30.0,1,2.303785,48.871829,10396.67,2023,1,1
2023-01-04,260000.0,RUE DE LA CR DES NOUES,75020.0,Paris 20e Arrondissement,Appartement,29.0,1,2.402664,48.863589,8965.52,2023,1,1
2023-01-04,284710.0,RUE TROYON,75017.0,Paris 17e Arrondissement,Appartement,20.0,1,2.295496,48.876173,14235.5,2023,1,1
2023-01-09,338000.0,VLA STENDHAL,75020.0,Paris 20e Arrondissement,Appartement,34.0,2,2.402175,48.862232,9941.18,2023,1,2
2023-01-05,600000.0,RUE DES PYRENEES,75020.0,Paris 20e Arrondissement,Appartement,60.0,3,2.390441,48.87336,10000.0,2023,1,1
2023-01-03,730000.0,RUE CHAMPIONNET,75018.0,Paris 18e Arrondissement,Appartement,79.0,4,2.331722,48.894398,9240.51,2023,1,2
2023-01-09,285000.0,BD MALESHERBES,75008.0,Paris 8e Arrondissement,Appartement,19.0,1,2.316495,48.876937,15000.0,2023,1,1
2023-01-06,916000.0,QUAI DE JEMMAPES,75010.0,Paris 10e Arrondissement,Appartement,77.0,3,2.367918,48.869554,11896.1,2023,1,1
2023-01-09,240000.0,RUE ORFILA,75020.0,Paris 20e Arrondissement,Appartement,16.0,1,2.395193,48.865921,15000.0,2023,1,1
